>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:2IFO_  mol:protein length:46     Inovirus (Filamentous Bacteriophage) Strain X
>PDB:1IFW_A mol:protein length:92     Polyadenylate-Binding Protein, Cytoplasmic an
>PDB:1IG0_A mol:protein length:319     Thiamin Pyrophosphokinase
>PDB:1IG1_A mol:protein length:294     Death-Associated Protein Kinase
>PDB:1IG3_A mol:protein length:263     Thiamin Pyrophosphokinase
>PDB:1IG6_A mol:protein length:107     Modulator Recognition Factor 2
>PDB:1IG8_A mol:protein length:486     Hexokinase Pii
>PDB:1IGN_A mol:protein length:246     Rap1
>PDB:1IGQ_A mol:protein length:62     Transcriptional Repressor Protein Korb
>PDB:1IGR_A mol:protein length:478     Insulin-Like Growth Factor Receptor 1
>PDB:1IGS_  mol:protein length:248     Indole-3-Glycerolphosphate Synthase
>PDB:1IGT_B mol:protein length:444     Igg2A Intact Antibody - Mab231
>PDB:1IGW_A mol:protein length:434     Isocitrate Lyase
>PDB:1IGA_A mol:protein length:475     Iga1
>PDB:1IH9_A mol:protein-het length:17     Zervamicin Iib
>PDB:1IHF_A mol:protein length:99     Integration Host Factor
>PDB:1IHF_B mol:protein length:94     Integration Host Factor
>PDB:1IHG_A mol:protein length:370     Cyclophilin 40
>PDB:1IHJ_A mol:protein length:98     Inad
>PDB:1IHK_A mol:protein length:174     Glia-Activating Factor
>PDB:1IHM_A mol:protein length:530     Capsid Protein
>PDB:1IHN_A mol:protein-het length:113     Hypothetical Protein Mth938
>PDB:1IHR_A mol:protein length:76     Tonb Protein
>PDB:1IHT_I mol:protein-het length:14     Alpha-Thrombin (E.C. 3.4.21.5) Complex Wi
>PDB:1II5_A mol:protein length:233     Hypothetical Protein Slr1257
>PDB:1II6_A mol:protein length:368     Kinesin-Related Motor Protein Eg5
>PDB:1II7_A mol:protein length:333     Mre11 Nuclease
>PDB:1II8_A mol:protein length:195     Rad50 Abc-Atpase
>PDB:1II8_B mol:protein length:174     Rad50 Abc-Atpase
>PDB:1IIC_A mol:protein length:422     Peptide N-Myristoyltransferase
>PDB:1IIE_A mol:protein length:75     Hla-Dr Antigens Associated Invariant Chain
>PDB:1IIJ_A mol:protein length:35     Erbb-2 Receptor Protein-Tyrosine Kinase
>PDB:1IIO_A mol:protein length:84     Conserved Hypothetical Protein Mth865
>PDB:1IIZ_A mol:protein length:120     Lysozyme
>PDB:1IJA_A mol:protein length:148     Sortase
>PDB:1IJD_A mol:protein-het length:53     Light-Harvesting Protein B-800/820, Alpha
>PDB:1IJD_B mol:protein length:42     Light-Harvesting Protein B-800/820, Beta Chai
>PDB:1IJY_A mol:protein length:130     Frizzled Homolog 8
>PDB:1IJ5_A mol:protein length:323     Plasmodial Specific Lav1-2 Protein
>PDB:1IK6_A mol:protein length:369     Pyruvate Dehydrogenase
>PDB:1IK9_A mol:protein length:213     DNA Repair Protein Xrcc4
>PDB:1IK9_C mol:protein length:37     DNA Ligase IV
>PDB:1IKN_D mol:protein length:236     I-Kappa-B-Alpha
>PDB:1IKO_P mol:protein length:178     Ephrin-B2
>PDB:1IKP_A mol:protein length:613     Exotoxin A
>PDB:1IKT_A mol:protein length:120     Estradiol 17 Beta-Dehydrogenase 4
>PDB:1IKU_  mol:protein-het length:202     Recoverin
>PDB:2ILK_  mol:protein length:160     Interleukin-10
>PDB:1ILG_A mol:protein length:316     Orphan Nuclear Receptor Pxr
>PDB:1ILO_A mol:protein length:77     Conserved Hypothetical Protein Mth895
>PDB:1ILP_C mol:protein-het length:19     Interleukin-8 Receptor
>PDB:1ILV_A mol:protein-het length:247     Stationary-Phase Survival Protein Sure H
>PDB:1ILW_A mol:protein length:180     180 Aa Long Hypothetical Pyrazinamidase/Nico
>PDB:2ILA_  mol:protein length:155     Interleukin-1Alpha (IL-1Alpha) - Chain _
>PDB:1ILE_  mol:protein length:821     Isoleucyl-tRNA Synthetase
>PDB:1IM3_D mol:protein length:95     Cytomegalovirus Protein Us2
>PDB:1IM8_A mol:protein-het length:244     Yeco
>PDB:1IMA_A mol:protein length:277     Inositol Monophosphatase (E.C. 3.1.3.25) Com
>PDB:1IMJ_A mol:protein length:210     Ccg1-Interacting Factor B
>PDB:1IMO_A mol:protein length:88     DNA Ligase III
>PDB:1IMT_  mol:protein length:80     Intestinal Toxin 1
>PDB:1IMV_A mol:protein length:398     Pigment Epithelium-Derived Factor
>PDB:1IN4_A mol:protein length:334     Holliday Junction DNA Helicase Ruvb
>PDB:1INL_A mol:protein length:296     Spermidine Synthase
>PDB:1INP_  mol:protein length:400     Inositol Polyphosphate 1-Phosphatase (1-Ptas
>PDB:3INK_C mol:protein length:133     Interleukin 2 Mutant With Cys 125 Replaced B
>PDB:1IN0_A mol:protein length:163     Yajq Protein
>PDB:1ION_A mol:protein-het length:243     Probable Cell Division Inhibitor Mind
>PDB:1IOJ_  mol:protein length:57     Apoc-I
>PDB:1IO0_A mol:protein length:185     Tropomodulin
>PDB:1IOX_A mol:protein length:50     Betacellulin
>PDB:1IOO_A mol:protein length:196     Sf11-Rnase
>PDB:1IOM_A mol:protein length:377     Citrate Synthase
>PDB:1IPA_A mol:protein length:274     RNA 2'-O-Ribose Methyltransferase
>PDB:1IPC_A mol:protein length:217     Eukaryotic Translation Initiation Factor 4E
>PDB:1IPG_A mol:protein length:85     Bem1 Protein
>PDB:1IQ5_B mol:protein length:27     Ca2+/Calmodulin Dependent Kinase Kinase
>PDB:1IQO_A mol:protein length:88     Hypothetical Protein Mth1880
>PDB:1IQQ_A mol:protein length:200     S3-Rnase
>PDB:1IQU_A mol:protein length:420     Photolyase
>PDB:1IQ8_A mol:protein length:582     Archaeosine tRNA-Guanine Transglycosylase
>PDB:1IQZ_A mol:protein length:81     Ferredoxin
>PDB:1IQ0_A mol:protein length:592     Arginyl-tRNA Synthetase
>PDB:1IQ3_A mol:protein length:110     Ralbp1-Interacting Protein (Partner Of Ralbp
>PDB:1IQV_A mol:protein length:218     Ribosomal Protein S7
>PDB:1IQ6_A mol:protein length:134     (R)-Specific Enoyl-Coa Hydratase
>PDB:1IRJ_A mol:protein length:113     Migration Inhibitory Factor-Related Protein
>PDB:1IR3_B mol:protein length:18     Peptide Substrate
>PDB:1IRQ_A mol:protein length:71     Omega Transcriptional Repressor
>PDB:1IRZ_A mol:protein length:64     Arr10-B
>PDB:1IRA_Y mol:protein length:319     Interleukin-1 Receptor
>PDB:1IRX_A mol:protein length:523     Lysyl-tRNA Synthetase
>PDB:1IRS_B mol:protein-het length:11     Il-4 Receptor Phosphopeptide
>PDB:1IR6_A mol:protein length:424     Exonuclease Recj
>PDB:1IRU_C mol:protein length:261     20S Proteasome
>PDB:1IRU_F mol:protein length:263     20S Proteasome
>PDB:1IRU_H mol:protein length:205     20S Proteasome
>PDB:1IRU_I mol:protein length:234     20S Proteasome
>PDB:1IRU_K mol:protein length:201     20S Proteasome
>PDB:1IRH_A mol:protein length:61     Tissue Factor Pathway Inhibitor
>PDB:1IRY_A mol:protein length:156     Hmth1
>PDB:1ISF_A mol:protein length:265     Bone Marrow Stromal Cell Antigen 1
>PDB:1IS2_A mol:protein length:661     Acyl-Coa Oxidase
>PDB:1ISY_A mol:protein length:436     Endo-1,4-Beta-D-Xylanase
>PDB:1IS7_A mol:protein length:230     GTP Cyclohydrolase I
>PDB:1IS7_K mol:protein length:84     GTP Cyclohydrolase I Feedback Regulatory Prot
>PDB:1ISU_A mol:protein length:62     High-Potential Iron-Sulfur Protein (Hipip) -
>PDB:1ITP_A mol:protein length:77     Proteinase A Inhibitor 1
>PDB:1ITH_A mol:protein length:141     Hemoglobin (Cyanomet) - Chain A
>PDB:1ITX_A mol:protein length:419     Glycosyl Hydrolase
>PDB:1ITU_A mol:protein length:369     Renal Dipeptidase
>PDB:1ITV_A mol:protein length:195     Mmp9
>PDB:1ITW_A mol:protein length:741     Isocitrate Dehydrogenase
>PDB:1IUF_A mol:protein length:144     Centromere Abp1 Protein
>PDB:1IUN_A mol:protein length:282     Meta-Cleavage Product Hydrolase
>PDB:1IU1_A mol:protein length:146     Gamma1-Adaptin
>PDB:1IU4_A mol:protein length:331     Microbial Transglutaminase
>PDB:1IUH_A mol:protein length:198     2'-5' RNA Ligase
>PDB:1IUK_A mol:protein length:140     Hypothetical Protein Tt1466
>PDB:1IUJ_A mol:protein length:106     Hypothetical Protein Tt1380
>PDB:1IUB_A mol:protein length:312     Fucose-Specific Lectin
>PDB:1IUR_A mol:protein length:88     Kiaa0730 Protein
>PDB:1IUG_A mol:protein-het length:352     Putative Aspartate Aminotransferase
>PDB:1IV6_A mol:protein length:70     Telomeric Repeat Binding Factor 1
>PDB:1IVH_A mol:protein length:394     Isovaleryl-Coa Dehydrogenase
>PDB:1IVY_A mol:protein length:452     Human Protective Protein
>PDB:1IV1_A mol:protein length:152     2-C-Methyl-D-Erythritol 2,4-Cyclodiphosphate
>PDB:1IVN_A mol:protein length:190     Thioesterase I
>PDB:1IVZ_A mol:protein length:132     Hypothetical Protein 1110008I14Rik
>PDB:1IV8_A mol:protein-het length:720     Maltooligosyl Trehalose Synthase
>PDB:1IV0_A mol:protein length:98     Hypothetical Protein
>PDB:1IXR_A mol:protein length:191     Holliday Junction DNA Helicase Ruva
>PDB:1IXM_A mol:protein length:192     Sporulation Response Regulatory Protein
>PDB:1IXT_A mol:protein length:27     Spasmodic Protein Tx9A-Like Protein
>PDB:1IX2_A mol:protein-het length:104     Pcoc Copper Resistance Protein
>PDB:1IXD_A mol:protein length:104     Cylindromatosis Tumour-Suppressor Cyld
>PDB:1IX5_A mol:protein length:151     Fkbp
>PDB:1IXC_A mol:protein-het length:294     Lysr-Type Regulatory Protein
>PDB:1IXK_A mol:protein-het length:315     Methyltransferase
>PDB:1IXL_A mol:protein-het length:131     Hypothetical Protein pH1136
>PDB:1IXU_A mol:protein length:12     Marinostatin
>PDB:1IYT_A mol:protein length:42     Alzheimer'S Disease Amyloid
>PDB:1IYR_A mol:protein length:111     DNA Fragmentation Factor Alpha Subunit
>PDB:1IYJ_A mol:protein length:70     Deleted In Split Hand/Split Foot Protein 1
>PDB:1IYJ_B mol:protein length:817     Breast Cancer Susceptibility
>PDB:1IY8_A mol:protein length:267     Levodione Reductase
>PDB:1IY2_A mol:protein length:278     ATP-Dependent Metalloprotease Ftsh
>PDB:1IYM_A mol:protein length:55     El5
>PDB:1IYF_A mol:protein length:81     Parkin
>PDB:1IYC_A mol:protein length:36     Scarabaecin
>PDB:1IYZ_A mol:protein length:302     Quinone Oxidoreductase
>PDB:1IYN_A mol:protein length:295     Chloroplastic Ascorbate Peroxidase
>PDB:1IZL_A mol:protein length:360     Photosystem II: Subunit Psba
>PDB:1IZL_C mol:protein-het length:473     Photosystem II: Subunit Psbc
>PDB:1IZL_D mol:protein length:352     Photosystem II: Subunit Psbd
>PDB:1IZL_K mol:protein length:37     Photosystem II: Subunit Psbk
>PDB:1IZL_V mol:protein length:137     Photosystem II: Subunit Psbv
>PDB:1IZ6_A mol:protein length:138     Initiation Factor 5A
>PDB:1IZO_A mol:protein length:417     Cytochrome P450 152A1
>PDB:1IZC_A mol:protein length:339     Macrophomate Synthase Intermolecular Diels-
>PDB:1IZN_A mol:protein length:286     Capz Alpha-1 Subunit
>PDB:1IZN_B mol:protein length:277     Capz Beta-1 Subunit
>PDB:1IZJ_A mol:protein length:637     Amylase
>PDB:1IZM_A mol:protein-het length:184     Hypothetical Protein Hi0817
>PDB:1J4B_A mol:protein length:457     Adenylosuccinate Synthetase
>PDB:1J4M_A mol:protein length:14     Mbh12
>PDB:1J4N_A mol:protein length:271     Aquaporin 1
>PDB:1J4P_B mol:protein-het length:13     DNA Repair Protein Rad9
>PDB:1J4S_A mol:protein length:149     Artocarpin
>PDB:1J4W_A mol:protein length:174     Fuse Binding Protein
>PDB:1J4X_A mol:protein length:184     Dual Specificity Protein Phosphatase 3
>PDB:1J5A_K mol:protein length:205     Ribosomal Protein L4
>PDB:1J5A_L mol:protein length:134     Ribosomal Protein L22
>PDB:1J5A_M mol:protein length:60     Ribosomal Protein L32
>PDB:1J5X_A mol:protein-het length:342     Glucosamine-6-Phosphate Deaminase
>PDB:1J58_A mol:protein-het length:385     Yvrk Protein
>PDB:1J55_A mol:protein length:95     S-100P Protein
>PDB:1J5K_A mol:protein length:89     Heterogeneous Nuclear Ribonucleoprotein K
>PDB:1J5V_A mol:protein-het length:351     2-Keto-3-Deoxygluconate Kinase
>PDB:1J5W_A mol:protein-het length:298     Glycyl-tRNA Synthetase Alpha Chain
>PDB:1J5U_A mol:protein-het length:136     Archease, Possible Chaperone
>PDB:1J5P_A mol:protein length:253     Aspartate Dehydrogenase
>PDB:1J5Y_A mol:protein-het length:187     Transcriptional Regulator, Biotin Repres
>PDB:1J5S_A mol:protein length:463     Uronate Isomerase
>PDB:1J5I_A mol:protein length:122     Apo-Neocarzinostatin
>PDB:1J53_A mol:protein length:186     DNA Polymerase III, Epsilon Chain
>PDB:1J5J_A mol:protein length:36     Bekm-1 Toxin
>PDB:1J5Q_A mol:protein length:437     Major Capsid Protein
>PDB:1J57_A mol:protein length:143     Nuia
>PDB:1J6W_A mol:protein-het length:175     Autoinducer-2 Production Protein Luxs
>PDB:1J6R_A mol:protein length:214     Methionine Synthase
>PDB:1J6U_A mol:protein-het length:469     Udp-N-Acetylmuramate-Alanine Ligase Murc
>PDB:1J6O_A mol:protein-het length:268     Tatd-Related Deoxyribonuclease
>PDB:1J6P_A mol:protein-het length:418     Metal-Dependent Hydrolase Of Cytosinedem
>PDB:1J6Q_A mol:protein length:136     Cytochrome C Maturation Protein E
>PDB:1J74_A mol:protein length:145     Mms2
>PDB:1J75_A mol:protein length:67     Tumor Stroma and Activated Macrophage Protein
>PDB:1J77_A mol:protein length:209     Hemo
>PDB:1J78_A mol:protein length:458     Vitamin D Binding Protein
>PDB:1J7I_A mol:protein length:264     Aminoglycoside 3'-Phosphotransferase
>PDB:1J7N_A mol:protein length:776     Lethal Factor Precursor
>PDB:1J7Q_A mol:protein length:86     Calcium Vector Protein
>PDB:1J7V_R mol:protein length:214     Interleukin-10 Receptor Alpha Chain
>PDB:1J7X_A mol:protein-het length:302     Interphotoreceptor Retinoid-Binding Prot
>PDB:1J85_A mol:protein length:160     Yibk
>PDB:1J83_A mol:protein-het length:180     Endo-1,4-Beta Glucanase Engf
>PDB:1J8C_A mol:protein length:125     Ubiquitin-Like Protein Hplic-2
>PDB:1J8F_A mol:protein length:323     Sirtuin 2, Isoform 1
>PDB:1J8I_A mol:protein length:93     Lymphotactin
>PDB:1J8K_A mol:protein length:94     Fibronectin
>PDB:1J8B_A mol:protein-het length:112     Ybab
>PDB:1J8R_A mol:protein-het length:196     Pyelonephritic Adhesin
>PDB:1J8D_A mol:protein-het length:180     Deoxy-D-Mannose-Octulosonate 8-Phosphate
>PDB:1J93_A mol:protein length:353     Uroporphyrinogen Decarboxylase
>PDB:1J9Z_A mol:protein length:622     Nadph-Cytochrome P450 Reductase
>PDB:1J9I_A mol:protein length:68     Terminase Small Subunit
>PDB:1J9A_A mol:protein-het length:184     Oligoribonuclease
>PDB:1JAD_A mol:protein-het length:251     Phospholipase C Beta
>PDB:1JAJ_A mol:protein length:174     DNA Polymerase Beta-Like Protein
>PDB:1JAT_A mol:protein length:155     Ubiquitin-Conjugating Enzyme E2-17.5 Kda
>PDB:1JAT_B mol:protein length:138     Ubiquitin-Conjugating Enzyme Variant Mms2
>PDB:1JAU_A mol:protein-het length:20     Transmembrane Glycoprotein (Gp41)
>PDB:1JAX_A mol:protein length:212     Conserved Hypothetical Protein
>PDB:1JB0_A mol:protein length:755     Photosystem I P700 Chlorophyll A Apoprotein
>PDB:1JB0_C mol:protein length:80     Photosystem I Iron-Sulfur Center
>PDB:1JB0_D mol:protein length:138     Photosystem 1 Reaction Centre Subunit II
>PDB:1JB0_E mol:protein length:75     Photosystem 1 Reaction Centre Subunit IV
>PDB:1JB0_F mol:protein length:164     Photosystem 1 Reaction Centre Subunit III
>PDB:1JB0_I mol:protein length:38     Photosystem 1 Reaction Centre Subunit Viii
>PDB:1JB0_J mol:protein length:41     Photosystem 1 Reaction Centre Subunit Ix
>PDB:1JB0_K mol:protein length:83     Photosystem 1 Reaction Centre Subunit X
>PDB:1JB0_L mol:protein length:154     Photosystem 1 Reaction Centre Subunit Xi
>PDB:1JB0_M mol:protein length:31     Photosystem 1 Reaction Centre Subunit Xii
>PDB:1JB0_X mol:protein length:35     Photosystem I Subunit Psax
>PDB:1JB3_A mol:protein length:131     Agrin
>PDB:1JB6_A mol:protein-het length:33     Hepatocyte Nuclear Factor 1-Alpha
>PDB:1JB7_A mol:protein length:495     Telomere-Binding Protein Alpha Subunit
>PDB:1JB7_B mol:protein length:260     Telomere-Binding Protein Beta Subunit
>PDB:1JB9_A mol:protein length:316     Ferredoxin-Nadp Reductase
>PDB:1JBA_A mol:protein length:204     Guanylate Cyclase Activating Protein 2
>PDB:1JBF_A mol:protein-het length:16     Ige06
>PDB:1JBG_A mol:protein length:109     Transcription Activator Of Multidrug-Efflux
>PDB:1JBI_A mol:protein length:100     Cochlin
>PDB:1JBJ_A mol:protein length:186     Cd3 Epsilon and Gamma Ectodomain Fragment Co
>PDB:1JBQ_A mol:protein length:435     Cystathionine Beta-Synthase
>PDB:1JBU_X mol:protein length:15     Peptide Exosite Inhibitor A-183
>PDB:1JBH_A mol:protein length:135     Cellular Retinol-Binding Protein Type I
>PDB:1JC5_A mol:protein length:148     Methylmalonyl-Coa Epimerase
>PDB:1JC9_A mol:protein length:269     Techylectin-5A
>PDB:1JCE_A mol:protein-het length:344     Rod Shape-Determining Protein Mreb
>PDB:1JCH_A mol:protein length:551     Colicin E3
>PDB:1JCJ_A mol:protein length:260     Deoxyribose-Phosphate Aldolase
>PDB:1JCQ_A mol:protein length:382     Protein Farnesyltransferase, Alpha Subunit
>PDB:1JCZ_A mol:protein length:263     Carbonic Anhydrase Xii
>PDB:1JCU_A mol:protein length:208     Conserved Protein Mth1692
>PDB:1JD4_A mol:protein length:124     Apoptosis 1 Inhibitor
>PDB:1JDI_A mol:protein length:231     L-Ribulose 5 Phosphate 4-Epimerase
>PDB:1JDL_A mol:protein length:121     Cytochrome C2, Iso-2
>PDB:1JDM_A mol:protein length:31     Sarcolipin
>PDB:1JDN_A mol:protein length:441     Atrial Natriuretic Peptide Clearance Recepto
>PDB:1JDQ_A mol:protein length:98     Hypothetical Protein Tm0983
>PDB:1JDS_A mol:protein length:236     5'-Methylthioadenosine Phosphorylase
>PDB:1JDW_  mol:protein length:423     L-Arginine\: Glycine Amidinotransferase
>PDB:1JE5_A mol:protein length:206     Helix-Destabilizing Protein
>PDB:1JEH_A mol:protein length:478     Dihydrolipoamide Dehydrogenase
>PDB:1JEG_B mol:protein length:25     Hematopoietic Cell Protein-Tyrosine Phosphata
>PDB:1JEK_A mol:protein-het length:42     Env Polyprotein
>PDB:1JEK_B mol:protein-het length:36     Env Polyprotein
>PDB:1JEQ_A mol:protein length:609     Ku70
>PDB:1JEQ_B mol:protein length:565     Ku80
>PDB:1JER_  mol:protein length:138     Cucumber Stellacyanin
>PDB:1JEI_A mol:protein length:53     Emerin
>PDB:1JFU_A mol:protein length:186     Thiol: Disulfide Interchange Protein Tlpa
>PDB:1JFA_A mol:protein length:374     Trichodiene Synthase
>PDB:1JFL_A mol:protein length:228     Aspartate Racemase
>PDB:1JFI_A mol:protein length:98     Transcription Regulator Nc2 Alpha Chain
>PDB:1JFI_B mol:protein length:179     Transcription Regulator Nc2 Beta Chain
>PDB:1JFB_A mol:protein length:404     Nitric-Oxide Reductase Cytochrome P450 55A1
>PDB:1JFM_A mol:protein length:174     Retinoic Acid Early Transcript Beta
>PDB:1JFR_A mol:protein length:262     Lipase
>PDB:1JFK_A mol:protein length:134     Calcium-Binding Protein
>PDB:1JFX_A mol:protein length:217     1,4-Beta-N-Acetylmuramidase M1
>PDB:1JFN_A mol:protein length:119     Apolipoprotein A, Kiv-T6
>PDB:1JGN_B mol:protein length:22     Polyadenylate-Binding Protein-Interacting Pro
>PDB:1JG1_A mol:protein length:235     Protein-L-Isoaspartate O-Methyltransferase
>PDB:1JG8_A mol:protein-het length:347     L-Allo-Threonine Aldolase
>PDB:1JGC_A mol:protein length:161     Bacterioferritin
>PDB:1JGK_A mol:protein length:66     Candoxin
>PDB:1JGS_A mol:protein length:138     Multiple Antibiotic Resistance Protein Marr
>PDB:1JGT_A mol:protein length:513     Beta-Lactam Synthetase
>PDB:1JHJ_A mol:protein length:171     Apc10
>PDB:1JHB_  mol:protein length:106     Glutaredoxin
>PDB:1JHD_A mol:protein length:396     Sulfate Adenylyltransferase
>PDB:1JHF_A mol:protein length:202     Lexa Repressor
>PDB:1JHN_A mol:protein length:424     Calnexin
>PDB:2JHB_A mol:protein length:143     Core Binding Factor Beta
>PDB:1JH4_B mol:protein length:22     Polyadenylate-Binding Protein-Interacting Pro
>PDB:1JI6_A mol:protein length:589     Pesticidial Crystal Protein Cry3Bb
>PDB:1JI8_A mol:protein length:111     Dissimilatory Siroheme-Sulfite Reductase
>PDB:1JID_A mol:protein length:128     Signal Recognition Particle 19 Kda Protein
>PDB:1JIH_A mol:protein length:531     DNA Polymerase Eta
>PDB:1JII_A mol:protein length:420     Tyrosyl-tRNA Synthetase
>PDB:1JIW_I mol:protein length:106     Proteinase Inhibitor
>PDB:1JI0_A mol:protein-het length:240     Abc Transporter
>PDB:1JI7_A mol:protein-het length:89     Ets-Related Protein Tel1
>PDB:1JI4_A mol:protein length:144     Neutrophil-Activating Protein A
>PDB:1JI3_A mol:protein length:388     Lipase
>PDB:1JJ2_G mol:protein length:348     Ribosomal Protein L10
>PDB:1JJ7_A mol:protein length:260     Peptide Transporter Tap1
>PDB:1JJD_A mol:protein length:55     Metallothionein
>PDB:1JJF_A mol:protein length:268     Endo-1,4-Beta-Xylanase Z
>PDB:1JJG_A mol:protein length:102     M156R
>PDB:1JJI_A mol:protein length:311     Carboxylesterase
>PDB:1JJO_A mol:protein length:40     Neuroserpin
>PDB:1JJO_C mol:protein length:261     Neuroserpin
>PDB:1JJU_B mol:protein length:337     Quinohemoprotein Amine Dehydrogenase
>PDB:1JJU_C mol:protein-het length:79     Quinohemoprotein Amine Dehydrogenase
>PDB:1JJZ_A mol:protein length:29     Kalata B1
>PDB:1JK0_A mol:protein length:419     Ribonucleoside-Diphosphate Reductase Small C
>PDB:1JK9_B mol:protein length:249     Copper Chaperone For Superoxide Dismutase
>PDB:1JKE_A mol:protein length:145     D-Tyr-Trnatyr Deacylase
>PDB:1JKM_B mol:protein length:361     Brefeldin A Esterase
>PDB:1JKZ_A mol:protein length:46     Defense-Related Peptide 1
>PDB:1JKU_A mol:protein length:266     Pseudocatalase
>PDB:1JKG_A mol:protein length:140     P15
>PDB:1JKG_B mol:protein length:250     Tap
>PDB:1JL3_A mol:protein length:139     Arsenate Reductase
>PDB:1JLI_  mol:protein length:112     Interleukin 3
>PDB:1JLJ_A mol:protein length:189     Gephyrin
>PDB:1JLN_A mol:protein length:297     Protein Tyrosine Phosphatase, Receptor Type,
>PDB:1JLX_A mol:protein-het length:304     Agglutinin
>PDB:1JLW_A mol:protein length:219     Glutathione Transferase Gst1-4
>PDB:1JM6_A mol:protein length:407     Pyruvate Dehydrogenase Kinase, Isozyme 2
>PDB:1JM7_A mol:protein length:112     Breast Cancer Type 1 Susceptibility Protein
>PDB:1JM7_B mol:protein length:117     Brca1-Associated Ring Domain Protein 1
>PDB:1JMA_B mol:protein length:167     Herpesvirus Entry Mediator
>PDB:1JMA_A mol:protein length:290     Glycoprotein D
>PDB:1JMK_C mol:protein length:230     Surfactin Synthetase
>PDB:1JMQ_A mol:protein length:46     65 Kda Yes-Associated Protein
>PDB:1JMS_A mol:protein length:381     Terminal Deoxynucleotidyltransferase
>PDB:1JMT_A mol:protein length:104     Splicing Factor U2Af 35 Kda Subunit
>PDB:1JMT_B mol:protein length:28     Splicing Factor U2Af 65 Kda Subunit
>PDB:1JMU_A mol:protein length:41     Protein Mu-1
>PDB:1JMU_B mol:protein length:666     Protein Mu-1
>PDB:1JMU_G mol:protein-het length:366     Sigma 3 Protein
>PDB:1JMV_A mol:protein length:141     Universal Stress Protein A
>PDB:1JMX_A mol:protein length:494     Amine Dehydrogenase
>PDB:1JMX_B mol:protein length:349     Amine Dehydrogenase
>PDB:1JM1_A mol:protein length:204     Rieske Iron-Sulfur Protein Soxf
>PDB:1JM4_B mol:protein length:118     P300/Cbp-Associated Factor
>PDB:1JMM_A mol:protein-het length:377     Protein I/II V-Region
>PDB:1JMJ_A mol:protein length:480     Heparin Cofactor II
>PDB:1JND_A mol:protein length:420     Imaginal Disc Growth Factor-2
>PDB:1JNI_A mol:protein length:123     Diheme Cytochrome C Napb
>PDB:1JNK_  mol:protein length:422     C-Jun N-Terminal Kinase
>PDB:1JNP_A mol:protein length:116     T-Cell Leukemia/Lymphoma Protein 1A
>PDB:1JNR_A mol:protein length:643     Adenylylsulfate Reductase
>PDB:1JNR_B mol:protein length:150     Adenylylsulfate Reductase
>PDB:1JN5_C mol:protein length:12     Fg-Repeat
>PDB:1JNQ_A mol:protein-het length:858     Lipoxygenase-3
>PDB:1JNM_A mol:protein length:62     Proto-Oncogene C-Jun
>PDB:1JNS_A mol:protein length:92     Peptidyl-Prolyl Cis-Trans Isomerase C
>PDB:1JOS_A mol:protein length:128     Ribosome-Binding Factor A
>PDB:1JOV_A mol:protein length:270     Hi1317
>PDB:1JO6_A mol:protein length:45     Potassium Large Conductance Calcium-Activated
>PDB:1JOC_A mol:protein length:125     Early Endosomal Autoantigen 1
>PDB:1JOF_A mol:protein-het length:365     Carboxy-Cis, Cis-Muconate Cyclase
>PDB:1JOT_B mol:protein length:20     Agglutinin
>PDB:1JOY_A mol:protein length:67     Envz_Ecoli
>PDB:1JOG_A mol:protein-het length:146     Hypothetical Protein Hi0074
>PDB:1JP4_A mol:protein length:308     3'(2'),5'-Bisphosphate Nucleotidase
>PDB:1JPD_X mol:protein length:324     L-Ala-D/L-Glu Epimerase
>PDB:1JPH_A mol:protein length:388     Uroporphyrinogen Decarboxylase
>PDB:1JPL_A mol:protein-het length:171     ADP-Ribosylation Factor Binding Protein
>PDB:1JPM_A mol:protein length:366     L-Ala-D/L-Glu Epimerase
>PDB:1JP3_A mol:protein-het length:253     Undecaprenyl Pyrophosphate Synthase
>PDB:1JPW_A mol:protein length:540     Beta-Catenin
>PDB:1JPY_A mol:protein length:137     Interleukin 17F
>PDB:1JPZ_A mol:protein length:473     Bifunctional P-450: Nadph-P450 Reductase
>PDB:1JQ4_A mol:protein length:98     Methane Monooxygenase Component C
>PDB:1JQO_A mol:protein length:970     Phosphoenolpyruvate Carboxylase
>PDB:1JQP_A mol:protein length:438     Dipeptidyl Peptidase I
>PDB:1JQJ_A mol:protein length:366     DNA Polymerase III, Beta Chain
>PDB:1JQJ_C mol:protein length:343     DNA Polymerase III, Delta Subunit
>PDB:1JQE_A mol:protein length:292     Histamine N-Methyltransferase
>PDB:1JQG_A mol:protein length:433     Carboxypeptidase A
>PDB:1JQI_A mol:protein length:388     Short Chain Acyl-Coa Dehydrogenase
>PDB:1JQQ_A mol:protein length:92     Peroxisomal Membrane Protein Pas20
>PDB:1JR2_A mol:protein length:286     Uroporphyrinogen-III Synthase
>PDB:1JR3_A mol:protein length:373     DNA Polymerase III Subunit Gamma
>PDB:1JR7_A mol:protein length:311     Hypothetical 37.4 Kda Protein In Iley-Gabd I
>PDB:1JR8_A mol:protein length:117     Erv2 Protein, Mitochondrial
>PDB:1JRF_A mol:protein length:47     Subgroup A Rous Sarcoma Virus Receptors Pg800
>PDB:1JRJ_A mol:protein length:39     Exendin-4
